,d_name,did,d_code,relation,e_name,eid,e_code
0,B疱疹病毒感染,189,36420002,has symptom_main,发热,755,386661006
1,B疱疹病毒感染,189,36420002,has symptom_main,水疱,885,339008
2,B疱疹病毒感染,189,36420002,has symptom_main,皮肤红斑,1957,444827008
3,B疱疹病毒感染,189,36420002,has symptom,头晕,969,404640003
4,B疱疹病毒感染,189,36420002,has symptom,口咽部水疱,1566,31389004|339008
5,B疱疹病毒感染,189,36420002,has symptom,疲劳,901,84229001
6,EB病毒感染,362,240530001,has symptom_main,发热,755,386661006
7,EB病毒感染,362,240530001,has symptom_main,呕吐,1608,422400008
8,EB病毒感染,362,240530001,has symptom_main,腹泻,992,62315008
9,EB病毒感染,362,240530001,has symptom_main,食欲下降,987,64379006
10,EB病毒感染,362,240530001,has symptom,肝脏肿大,1799,80515008
11,EB病毒感染,362,240530001,has symptom,皮疹,1042,271807003
12,EB病毒感染,362,240530001,has symptom,脾肿大,1475,16294009
13,EB病毒感染,362,240530001,has symptom,恶心,1369,422587007
14,EB病毒感染,362,240530001,has symptom,肝脾肿大,1866,36760000
15,EB病毒感染,362,240530001,has symptom,淋巴结肿大,923,30746006
16,EB病毒感染,362,240530001,has symptom,全身淋巴结肿大,1083,274741002
17,II型糖尿病,695,44054006,has symptom_main,多尿,821,162182005
18,II型糖尿病,695,44054006,has symptom_main,多食,1761,212572003
19,II型糖尿病,695,44054006,has symptom_main,多饮,1490,17173007
20,II型糖尿病,695,44054006,has symptom_main,体重减轻,1846,89362005
21,II型糖尿病,695,44054006,has symptom,乏力,1405,13791008
22,II型糖尿病,695,44054006,has symptom,视力障碍,1300,95677002
49,阿尔茨海默病,390,26929004,has symptom_main,认知功能障碍,1276,386806002
50,阿尔茨海默病,390,26929004,has symptom_main,表情淡漠,1466,248149005
51,阿尔茨海默病,390,26929004,has symptom_main,定向力障碍,1086,62476001
52,阿尔茨海默病,390,26929004,has symptom_main,记忆力障碍,177,386807006
53,阿尔茨海默病,390,26929004,has symptom_main,健忘性失语,1145,10325006
54,阿尔茨海默病,390,26929004,has symptom_main,人格改变,1487,102943000
55,阿尔茨海默病,390,26929004,has symptom,抽搐,1273,386783003
56,阿尔茨海默病,390,26929004,has symptom,多疑,1931,163614007
57,阿尔茨海默病,390,26929004,has symptom,烦躁不安,878,30819006
58,阿尔茨海默病,390,26929004,has symptom,共济失调,2160,20262006
59,阿尔茨海默病,390,26929004,has symptom,幻觉,2009,7011001
60,阿尔茨海默病,390,26929004,has symptom,肌阵挛,1806,17450006
61,阿尔茨海默病,390,26929004,has symptom,精神障碍,1518,74732009
62,阿尔茨海默病,390,26929004,has symptom,情绪低落,1301,420038007
63,阿尔茨海默病,390,26929004,has symptom,面容失认,2119,18358003
64,阿尔茨海默病,390,26929004,has symptom,目光呆滞,1052,248225003
65,阿尔茨海默病,390,26929004,has symptom,失眠,1684,193462001
66,阿尔茨海默病,390,26929004,has symptom,头晕,969,404640003
67,阿尔茨海默病,390,26929004,has symptom,谵妄,1764,2776000
81,阿米巴肠病,395,111910009,has symptom_main,腹痛,1288,21522001
82,阿米巴肠病,395,111910009,has symptom_main,腹泻,992,62315008
83,阿米巴肠病,395,111910009,has symptom_main,里急后重,1182,267053000
84,阿米巴肠病,395,111910009,has symptom_main,粘液便,1713,271864008
85,阿米巴肠病,395,111910009,has symptom_main,呈泡沫样有腥臭味稀便,843,
88,白癜风,241,56727007,has symptom_main,面部白斑,766,89545001|89031001
89,白癜风,241,56727007,has symptom,皮肤瘙痒,1311,418363000
90,白癜风,241,56727007,has symptom,色素性皮损,1333,201340008
97,白内障,477,128306009,has symptom_main,视力下降,2010,225581002
98,白内障,477,128306009,has symptom_main,视物模糊,1064,246636008
99,白内障,477,128306009,has symptom_main,畏光,2170,409668002
100,白内障,477,128306009,has symptom,复视,1412,24982008
101,斑秃,511,68225006,has symptom_main,脱发,1760,56317004
114,膀胱结石,502,70650003,has symptom_main,尿等待,1778,5972002
115,膀胱结石,502,70650003,has symptom_main,尿急,1829,75088002
116,膀胱结石,502,70650003,has symptom_main,尿痛,2157,49650001
117,膀胱结石,502,70650003,has symptom,血尿,844,34436003
118,膀胱结石,502,70650003,has symptom,耻骨上痛,2105,162053006
119,膀胱结石,502,70650003,has symptom,急性尿潴留,1214,236648008
120,膀胱结石,502,70650003,has symptom,膀胱憩室,836,197866008
126,膀胱炎,691,38822007,has symptom_main,下腹痛,928,54586004
127,膀胱炎,691,38822007,has symptom_main,尿急,1829,75088002
128,膀胱炎,691,38822007,has symptom_main,尿频,892,162116003
129,膀胱炎,691,38822007,has symptom_main,尿痛,2157,49650001
130,膀胱炎,691,38822007,has symptom,尿道烧灼感,853,58250006
131,膀胱炎,691,38822007,has symptom,尿液混浊,1191,7766007
132,膀胱炎,691,38822007,has symptom,血尿,844,34436003
133,膀胱炎,691,38822007,has symptom,间歇性尿蛋白,1827,57009009
134,膀胱炎,691,38822007,has symptom,尿无力,1100,
135,膀胱炎,691,38822007,has symptom,膀胱纤维化,1400,95587009
147,包皮阴茎头炎,523,46090001,has symptom_main,龟头疼,1869,60319009|22253000
148,包皮阴茎头炎,523,46090001,has symptom_main,龟头潮红,1321,60319009|386713009
149,包皮阴茎头炎,523,46090001,has symptom_main,龟头瘙痒,1699,60319009|418290006
150,包皮阴茎头炎,523,46090001,has symptom,勃起时间短,1349,397803000
151,包皮阴茎头炎,523,46090001,has symptom,反复感染,998,40733004|255227004
152,包皮阴茎头炎,523,46090001,has symptom,腹股沟淋巴结肿大,855,127199000
153,包皮阴茎头炎,523,46090001,has symptom,龟头出血,1825,60319009|131148009
154,包皮阴茎头炎,523,46090001,has symptom,龟头发黑,883,60319009|371252007
155,包皮阴茎头炎,523,46090001,has symptom,尿道口痒,1659,87528003|418290006
156,包皮阴茎头炎,523,46090001,has symptom,尿道烧灼感,853,58250006
157,包皮阴茎头炎,523,46090001,has symptom,阴茎龟头橡皮肿,1900,18911002|67103005
158,包皮阴茎头炎,523,46090001,has symptom,阴茎瘙痒,1284,69069001
159,包皮阴茎头炎,523,46090001,has symptom,阴茎萎缩,2075,198037006
173,暴发性痤疮,353,4659007,has symptom_main,发热,755,386661006
174,暴发性痤疮,353,4659007,has symptom_main,关节痛,752,57676002
175,暴发性痤疮,353,4659007,has symptom_main,脓疱性痤疮,1604,59172008
182,贝尔麻痹,240,193093009,has symptom_main,口角肌肉的抽搐,1504,23161009|386783003
183,贝尔麻痹,240,193093009,has symptom_main,口角下垂,1561,23161009|29696001
184,贝尔麻痹,240,193093009,has symptom_main,面部肌肉痉挛,1427,32402008
185,贝尔麻痹,240,193093009,has symptom_main,面纹消失,1068,248194004|2667000
186,贝尔麻痹,240,193093009,has symptom,不能眨眼,1144,
187,贝尔麻痹,240,193093009,has symptom,耳后疼痛,1832,430879002
188,贝尔麻痹,240,193093009,has symptom,耳痛,1053,16001004
189,贝尔麻痹,240,193093009,has symptom,怪笑,1255,304254000
190,贝尔麻痹,240,193093009,has symptom,面部叩击征,937,44717005
191,贝尔麻痹,240,193093009,has symptom,听觉过敏,1115,25289003
192,贝尔麻痹,240,193093009,has symptom,鼓腮和吹口哨漏气,1018,
211,鼻窦炎,490,36971009,has symptom_main,头痛,1650,25064002
212,鼻窦炎,490,36971009,has symptom_main,嗅觉减退,1289,83156004
213,鼻窦炎,490,36971009,has symptom_main,鼻塞,1515,68235000
214,鼻窦炎,490,36971009,has symptom_main,脓鼻涕,771,14310000
215,鼻窦炎,490,36971009,has symptom,鼻出血,1807,249366005
216,鼻窦炎,490,36971009,has symptom,精神萎靡,865,87521009
217,鼻窦炎,490,36971009,has symptom,失眠,1684,193462001
218,鼻窦炎,490,36971009,has symptom,食欲下降,987,64379006
219,鼻窦炎,490,36971009,has symptom,头晕,969,404640003
220,鼻窦炎,490,36971009,has symptom,发热,755,386661006
224,鼻疖,662,414304001,has symptom_main,鼻痛,990,225564006
225,鼻疖,662,414304001,has symptom,颌下淋巴结肿大,934,59503006|65124004
226,鼻疖,662,414304001,has symptom,疖肿,834,416675009
231,鼻腔囊肿,704,232362005,has symptom_main,呼吸困难,1207,267036007
232,鼻腔囊肿,704,232362005,has symptom_main,头痛,1650,25064002
233,鼻腔囊肿,704,232362005,has symptom_main,鼻塞,1515,68235000
234,鼻腔囊肿,704,232362005,has symptom,恶心,1369,422587007
235,鼻腔囊肿,704,232362005,has symptom,头晕,969,404640003
236,鼻腔囊肿,704,232362005,has symptom,鼻粘膜肿胀,1584,277223000
237,鼻腔囊肿,704,232362005,has symptom,脑脊液鼻漏,1787,85638002
238,鼻腔囊肿,704,232362005,has symptom,眼痛,913,41652007
239,鼻腔异物,546,33890007,has symptom_main,鼻塞,1515,68235000
240,鼻腔异物,546,33890007,has symptom_main,鼻血性分泌物,1004,72189003
241,鼻腔异物,546,33890007,has symptom,鼻粘膜充血,1213,34508005|85804007
242,鼻腔异物,546,33890007,has symptom,脓鼻涕,771,14310000
245,鼻咽炎,105,51476001,has symptom_main,声音嘶哑,775,50219008
246,鼻咽炎,105,51476001,has symptom_main,鼻咽干燥不适,1499,71836000|13880007|247347003
247,鼻咽炎,105,51476001,has symptom_main,咳嗽,1406,49727002
248,鼻咽炎,105,51476001,has symptom_main,咽喉痛,1743,162397003
249,鼻咽炎,105,51476001,has symptom,低热,1567,304213008
250,鼻咽炎,105,51476001,has symptom,乏力,1405,13791008
251,鼻咽炎,105,51476001,has symptom,头晕,969,404640003
252,鼻咽炎,105,51476001,has symptom,消化不良,630,162031009
261,鼻中隔脓肿,621,111275004,has symptom_main,鼻尖红肿,1763,81001005|65124004
262,鼻中隔脓肿,621,111275004,has symptom_main,鼻尖疼痛,2167,81001005|22253000
263,鼻中隔脓肿,621,111275004,has symptom_main,鼻梁红肿,1389,17176004|65124004
264,鼻中隔脓肿,621,111275004,has symptom_main,鼻梁疼痛,1562,17176004|22253000
265,鼻中隔脓肿,621,111275004,has symptom_main,鼻中隔穿孔,1848,80142000
266,鼻中隔脓肿,621,111275004,has symptom_main,鼻中隔对称性肿胀,1316,68426009|65124004|255473004
267,鼻中隔脓肿,621,111275004,has symptom_main,鼻中隔疼痛,965,68426009|22253000
268,鼻中隔脓肿,621,111275004,has symptom,鼻窦压痛,944,2095001|247348008
269,鼻中隔脓肿,621,111275004,has symptom,鼻塞,1515,68235000
270,鼻中隔脓肿,621,111275004,has symptom,脓肿,2103,128477000
273,鼻中隔偏曲,259,126660000,has symptom_main,头痛,1650,25064002
274,鼻中隔偏曲,259,126660000,has symptom_main,鼻出血,1807,249366005
275,鼻中隔偏曲,259,126660000,has symptom_main,鼻塞,1515,68235000
276,鼻中隔偏曲,259,126660000,has symptom,耳鸣,1630,60862001
277,鼻中隔偏曲,259,126660000,has symptom,耳内闭塞感,814,103281005
279,闭经性头痛,672,198438009,has symptom_main,额部疼痛,1893,267096005
280,闭经性头痛,672,198438009,has symptom_main,夜间头痛,1621,25064002|2546009
282,闭经溢乳综合征,304,64678009,has symptom_main,闭经,1537,14302001
283,闭经溢乳综合征,304,64678009,has symptom_main,溢乳,1341,78622004
284,闭经溢乳综合征,304,64678009,has symptom,头痛,1650,25064002
285,闭经溢乳综合征,304,64678009,has symptom,性欲减退,2078,52833006
286,闭经溢乳综合征,304,64678009,has symptom,视力障碍,1300,95677002
292,边缘性龈炎,244,80034003,has symptom_main,齿龈出血,1131,86276007
293,边缘性龈炎,244,80034003,has symptom_main,齿龈肿胀,1839,309685001
294,边缘性龈炎,244,80034003,has symptom_main,牙龈深红,1268,113279002|371240000
295,边缘性龈炎,244,80034003,has symptom,牙龈痛,1667,11114002
300,扁桃体肥大,576,46689006,has symptom_main,打呼噜,852,72863001
301,扁桃体肥大,576,46689006,has symptom_main,耳鸣,1630,60862001
302,扁桃体肥大,576,46689006,has symptom,声音异常,1997,38160000
303,扁桃体肥大,576,46689006,has symptom,鼻塞,1515,68235000
